"","Header","2017","2018","2019","2020","2021","2022"
"1","Accessibility",NA,NA,NA,NA,"*","*"
"2","AdBlocker",NA,"*",NA,NA,NA,NA
"3","AdBlockerDisable",NA,"*",NA,NA,NA,NA
"4","AdBlockerReasons",NA,"*",NA,NA,NA,NA
"5","AdsActions",NA,"*",NA,NA,NA,NA
"6","AdsAgreeDisagree1",NA,"*",NA,NA,NA,NA
"7","AdsAgreeDisagree2",NA,"*",NA,NA,NA,NA
"8","AdsAgreeDisagree3",NA,"*",NA,NA,NA,NA
"9","AdsPriorities1",NA,"*",NA,NA,NA,NA
"10","AdsPriorities2",NA,"*",NA,NA,NA,NA
"11","AdsPriorities3",NA,"*",NA,NA,NA,NA
"12","AdsPriorities4",NA,"*",NA,NA,NA,NA
"13","AdsPriorities5",NA,"*",NA,NA,NA,NA
"14","AdsPriorities6",NA,"*",NA,NA,NA,NA
"15","AdsPriorities7",NA,"*",NA,NA,NA,NA
"16","Age",NA,"*","*","*","*","*"
"17","Age1stCode",NA,NA,"*","*","*",NA
"18","AgreeDisagree1",NA,"*",NA,NA,NA,NA
"19","AgreeDisagree2",NA,"*",NA,NA,NA,NA
"20","AgreeDisagree3",NA,"*",NA,NA,NA,NA
"21","AIDangerous",NA,"*",NA,NA,NA,NA
"22","AIFuture",NA,"*",NA,NA,NA,NA
"23","AIInteresting",NA,"*",NA,NA,NA,NA
"24","AIResponsible",NA,"*",NA,NA,NA,NA
"25","AnnoyingUI","*",NA,NA,NA,NA,NA
"26","AssessBenefits1",NA,"*",NA,NA,NA,NA
"27","AssessBenefits10",NA,"*",NA,NA,NA,NA
"28","AssessBenefits11",NA,"*",NA,NA,NA,NA
"29","AssessBenefits2",NA,"*",NA,NA,NA,NA
"30","AssessBenefits3",NA,"*",NA,NA,NA,NA
"31","AssessBenefits4",NA,"*",NA,NA,NA,NA
"32","AssessBenefits5",NA,"*",NA,NA,NA,NA
"33","AssessBenefits6",NA,"*",NA,NA,NA,NA
"34","AssessBenefits7",NA,"*",NA,NA,NA,NA
"35","AssessBenefits8",NA,"*",NA,NA,NA,NA
"36","AssessBenefits9",NA,"*",NA,NA,NA,NA
"37","AssessJob1",NA,"*",NA,NA,NA,NA
"38","AssessJob10",NA,"*",NA,NA,NA,NA
"39","AssessJob2",NA,"*",NA,NA,NA,NA
"40","AssessJob3",NA,"*",NA,NA,NA,NA
"41","AssessJob4",NA,"*",NA,NA,NA,NA
"42","AssessJob5",NA,"*",NA,NA,NA,NA
"43","AssessJob6",NA,"*",NA,NA,NA,NA
"44","AssessJob7",NA,"*",NA,NA,NA,NA
"45","AssessJob8",NA,"*",NA,NA,NA,NA
"46","AssessJob9",NA,"*",NA,NA,NA,NA
"47","AssessJobCommute","*",NA,NA,NA,NA,NA
"48","AssessJobCompensation","*",NA,NA,NA,NA,NA
"49","AssessJobDept","*",NA,NA,NA,NA,NA
"50","AssessJobDiversity","*",NA,NA,NA,NA,NA
"51","AssessJobExp","*",NA,NA,NA,NA,NA
"52","AssessJobFinances","*",NA,NA,NA,NA,NA
"53","AssessJobIndustry","*",NA,NA,NA,NA,NA
"54","AssessJobLeaders","*",NA,NA,NA,NA,NA
"55","AssessJobOffice","*",NA,NA,NA,NA,NA
"56","AssessJobProduct","*",NA,NA,NA,NA,NA
"57","AssessJobProfDevel","*",NA,NA,NA,NA,NA
"58","AssessJobProjects","*",NA,NA,NA,NA,NA
"59","AssessJobRemote","*",NA,NA,NA,NA,NA
"60","AssessJobRole","*",NA,NA,NA,NA,NA
"61","AssessJobTech","*",NA,NA,NA,NA,NA
"62","AuditoryEnvironment","*",NA,NA,NA,NA,NA
"63","BetterLife",NA,NA,"*",NA,NA,NA
"64","Blockchain",NA,NA,NA,NA,NA,"*"
"65","BlockchainIs",NA,NA,"*",NA,NA,NA
"66","BlockchainOrg",NA,NA,"*",NA,NA,NA
"67","BoringDetails","*",NA,NA,NA,NA,NA
"68","BuildingThings","*",NA,NA,NA,NA,NA
"69","BuyNewTool",NA,NA,NA,NA,NA,"*"
"70","CareerSat",NA,NA,"*",NA,NA,NA
"71","CareerSatisfaction","*","*",NA,NA,NA,NA
"72","ChallengeMyself","*",NA,NA,NA,NA,NA
"73","ChangeWorld","*",NA,NA,NA,NA,NA
